id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19451443,Ukrainatopia,133779718,Grace,West Town,41.896770000000004,-87.67814,Entire home/apt,79,2,86,2020-02-18,2.26,1,2
19454398,Bridgeport Home,96350945,Patrick,Bridgeport,41.84507,-87.64503,Entire home/apt,190,2,34,2019-10-25,0.87,1,270
19469209,"221 Room 2 Cozy, Nice Bedroom in Center Chinatown",7629653,Helen,Armour Square,41.85021,-87.63348,Private room,25,1,138,2020-09-06,3.52,2,116
19469602,Urban Terrace @ Fulton House,56917234,Lara,East Garfield Park,41.8856,-87.70584000000001,Entire home/apt,117,3,104,2020-09-13,2.65,3,336
19474423,Entire Private Apartment (Duplex) by Chinatown,129327646,Roger,Bridgeport,41.84485,-87.63988,Entire home/apt,65,2,244,2020-03-13,6.21,6,349
19483555,Private room on tree lined street in Lakeview,136739384,Suzanne,Lake View,41.94764,-87.6513,Private room,55,30,9,2020-05-09,0.24,2,325
19486763,Private Studio by Chinatown (Duplex),129327646,Roger,Bridgeport,41.84398,-87.64005999999999,Entire home/apt,55,1,127,2019-06-09,3.21,6,0
19496735,"Comfy Retro Studio-sleeps 4, Private side entrance",136799638,Mike&Rodrigo,Portage Park,41.955690000000004,-87.77,Private room,69,2,75,2019-11-11,1.91,1,27
19526921,Private room,52558282,Liz,Uptown,41.97331,-87.66346,Private room,50,3,20,2019-08-12,0.51,1,90
19529540,Spacious Lakeview Condo,130604462,Taylor,Lake View,41.93437,-87.63847,Entire home/apt,115,1,7,2017-11-26,0.19,1,0
19532918,Cozy quarters steps away from the lakefront,137194485,Kay,Oakland,41.82257,-87.60214,Entire home/apt,71,2,189,2020-09-07,4.82,1,3
19549132,Safe+Peaceful Lakeview. Your Secret Getaway,9094538,Nicole,Lake View,41.93809,-87.66561999999999,Entire home/apt,80,1,60,2020-03-15,1.52,37,163
19551521,Logan Square Portrait Room,2918510,Monica,Logan Square,41.92235,-87.71664,Private room,104,2,17,2019-11-25,0.43,1,178
19554215,McCormick Convention - Condo Vacation Rentals,118125798,Jermaill,Grand Boulevard,41.81774,-87.61015,Private room,94,1,39,2019-10-23,0.99,1,179
19571344,Inviting 4 Bedroom Duplex Next to Humboldt Park,21008290,Danny,West Town,41.90457,-87.69583,Entire home/apt,165,3,80,2020-09-13,2.14,2,350
19574382,"Historic Old Town, Fabulous 4 Bedroom Home",33004,At Home Inn,Lincoln Park,41.91324,-87.63969,Entire home/apt,295,4,35,2020-07-21,0.93,9,282
19585431,Vibrant and Stylish 4 Bed Condominium near Humboldt Park,137543685,Zach,West Town,41.9041,-87.69528000000001,Entire home/apt,135,3,90,2020-09-08,2.39,1,359
